

*********************** A-C **********************
account for - to explain the reason of something	How can you account for your absence at the meeting?
burn out - 1. to burn completely; 2. to stop functioning	1. Several houses were burned out by the fire. 2. The light bulb in the kitchen is burned out. Please replace it. After years of hard work he burned himself out.
burn up - 1. to burn brightly and strongly; 2. to burn completely; 3. to become very angry	1. We added a couple of dry logs, and soon the fire burned up. 2. The paper burned up in a second. 3. He gets burned up every time someone mentions his daughter's divorce.
burn with - to want something very much	He's burning with the desire to get rich.
burst in - to rush in	He never just enters the room; he always bursts in.
burst into - 1. to rush in; 2. to start doing something suddenly	1. He burst into the room. 2. She burst into tears. He burst into singing.
burst out - 1. to rush out; 2. to start doing something suddenly	1. She jumped to her feet and burst out (of the room). 2. He burst out laughing. She burst out crying.
burst with - to be extremely full of something	She was bursting with the desire to tell everyone about her success. He is bursting with pride. The room was bursting with people.
butt in - to interrupt someone's conversation	I hate it when he butts in with remarks about everything.
buy off - to bribe, to pay someone in order not to do something	He tried to buy off a journalist who was going to expose his illegal activity.
buy out - 1. to become an owner by buying all of (stock, business, partner's share, rights); 2. buy out of - to bribe someone in order to be freed from something	1. He bought out his partner's share and became the sole owner of the company. 2. He faced serious criminal charges, but his father bought him out of prison. He also bought him out of military duty.
call at - to dial someone's number and speak	Call me at 555-3246.
call back - to return a call	I called him at six, but he wasn't in. He called me back at seven.
call for - 1. to go and get; 2. to summon, to ask for; 3. to require something	1. I'll call for you at seven. 2. He called for a waiter. He called for help. 3. This situation calls for quick action. This happy event calls for a celebration.
call in - to invite a specialist for consultation and help	We called in an interior designer to help us with redecorating.
call off - to cancel something	He called off his dogs and let me in. The open-air concert was called off because of rain. The police decided to call off the search for the missing man.
call on / upon - 1. to visit someone; 2. to appeal to someone (for an answer, advice, help)	1. He calls on her when he is in Rome. 2. He called on a technical specialist. He called on God for help.
call up - to telephone, to call by phone	I called up a friend, and we went to a movie. He called me up at six o'clock.
calm down - to relax, to stop worrying	Calm down! Everything will be all right.
camp out - to go camping, to live in tents	They like to camp out in the woods in summer.
care about - 1. to like someone; 2. to be interested in something	1. He cares about his little sister. 2. I don't care about your opinion.
care for - 1. to like someone; 2. to want something; 3. to look after someone	1. He cares for his little sister. 2. Do you care for a drink? 3. Will you care for my cat while I'm away?
carp at - to find fault with someone, something	Stop carping at me! The teacher always carps at my translation from French.
carry away - 1. to remove, to take away; 2. (usually passive) to excite someone greatly or excessively	1. The hurricane carried away the boats. 2. He was carried away by the music and didn't hear the doorbell.
carry on - 1. to continue doing something without stopping; 2. to behave excitedly, foolishly	1. The lifeguards carried on their search for the missing child in spite of the wind and huge waves. Carry on with your work. 2. I hate it when she carries on like this.
carry out - to fulfill, to complete	He needs to do a lot of things to carry out his plan.
carry through - 1. to fulfill, to complete (despite difficulties); 2. to support someone through a difficult time	1. Despite all obstacles and difficulties, he carried his plan through. 2. His will and his wife's support carried him through in his struggle with cancer.
cast away - 1. to throw away; to discard; 2. (passive) to be shipwrecked	1. He casts away his mother's money. She cast away her old friends when she became rich. 2. Several passengers of the sinking ship were cast away on a desert island.
cast down - (passive) to make someone feel sad or depressed	She was really cast down when she learned that he got married.
cast out - to throw out; to expel	Several disloyal employees were cast out (of the company).
catch on - 1. to become popular; 2. to understand quickly, to grasp mentally	1. The tune is very catchy. The song caught on quickly. 2. She is a quick learner. She catches on very fast.
catch up on - to bring up to date, to make up for the lack of something	I need to catch up on my reading. I need to catch up on sleep.
catch up with - 1. to reach the same level or position as someone ahead; 2. to bring up to date, to make up for the lack of something	1. She was too fast; I couldn't catch up with her. She is always trying to catch up with the richer neighbors. He has to study harder to catch up with the other students. 2. I need to catch up with my studies.
cave in - to fall inwards	The roof caved in during the fire.
change for - to exchange something for something, to trade for	Can I change this bag for that one? Could I change these dollars for euros, please?
change into - 1. to put on a different set of clothes; 2. to turn into, to convert into something different	1. I need to change into warmer clothes. 2. The little boy in the fairy tale was changed into a monster. I'd like to change these dollars into pounds, please.
change to - to make a change to something different	She changed her name to her husband's name when they got married. Autumn changed to winter. I'd like to change these dollars to pounds, please.
charge at - to attack someone	The bull charged at him.
charge for - to ask as a price for service or goods	How much do you charge for a single room?
charge with - to accuse of something	He was charged with murder.
cheat into - to talk someone into doing something by a trick	He cheated her into giving him a large sum of money.
cheat on - to be unfaithful to one's wife (husband)	He's been cheating on his wife for years.
cheat out of - to trick someone out of something	He cheated her out of her money.
check in - to register (at the hotel at arrival, at the airport for the flight)	He reserved a room in advance and checked in quickly. She went to the airport, checked in (for her flight), and went to a cafe for a cup of coffee and a sandwich.
check into - 1. to register at a hotel or a hospital at arrival; 2. to analyze, investigate something	1. We checked into the River Hotel at night. She checked into a hospital two days ago. 2. He checked into the matter and discovered several interesting things.
check (new words) in / with a dictionary or reference book	Check this word in the dictionary. You'd better check this information with an encyclopedia.
check off - to mark an item on a list (usually with a check)	Check my name off the list.
check on / check up on - to check, to inspect, to examine, to investigate	We need to check on her work regularly. The detective is checking up on her former connections. They checked up on him and decided against hiring him.
check out - 1. to pay the bill and leave (the hotel); 2. to check, to verify	1. He checked out at noon. 2. The information that he gave us checks out fully.
check out of - to pay the bill and leave (the hotel)	I checked out of the hotel at noon.
chew on - 1. to chew something; 2. to consider something for a long time	1. My dog likes to chew on my shoes. 2. He chewed on this issue for a week.
chew over - to consider something for a long time	He chewed over this issue for a week.
choke on - to suffocate because of swallowing something	She choked on a fish bone. He choked on a cherry pit.
choke with - to suffocate with (emotions)	He was choking with anger.
chop down - to cut down (a tree)	First, they chopped down the tree.
chop off - to cut off	Then they chopped off the branches.
chop up - to cut up, to cut into pieces	Finally, they chopped up the trunk of the tree.
claim from - to demand something from someone	He claimed $10,000 from her. He claimed damages from the other driver.
clean of - to remove (stains, dirt)	I cleaned your shirt of the stains.
clean out - 1. to empty and clean (closet, drawer); 2. to use up all of one's money	1. You promised to clean out the closet. 2. The purchase of the new car cleaned out his savings.
clean up - to clean, to wash, to tidy up; to get rid of unwanted things	We need to clean up the apartment before the party. Please wait here. I need just a couple of minutes to clean up. The police are going to clean up the slums.
clear away / off - 1. to remove objects for more space; 2. to disappear (about the fog, smoke); 3. to leave some place	1. After dinner my daughter helped me to clear off the table. 2. The clouds cleared away. The fog is clearing off. 3. The police cleared off the crowds.
clear out - 1. to empty and clean (closet, drawer); 2. to leave some place	1. You promised to clear out the closet. 2. As soon as her father returned, her boyfriend cleared out. The police cleared out the building.
clear up - 1. to become brighter (about the weather); 2. to clean, to tidy up; 3. to make clear, to explain	1. The weather is clearing up. 2. We need to clear up the living room. 3. I really want to clear up this mystery. Let me clear it up.
click with - to have success with someone	This song clicked with me right away.
close down - to shut down	The plant was closed down recently, and the workers lost their jobs.
close in on - to get closer to someone with the aim of attacking or capturing	He has a feeling that his enemies are closing in on him. The criminals closed in on him.
close up - to shut or stop completely	This road is closed up because of the flood. The summer camp closes up in September.
clutch at - to grab at something	The little girl clutched at her mother's arm. He clutched at the opportunity.
come about - to arise, happen	How did this question come about?
come across - to be understandable, to get across	The meaning of his message doesn't come across. Did her poem come across to you?
come across something - to find by chance	Yesterday I came across an interesting article on vegetarian cooking.
come along - to join someone	I'm going to the park. Would you like to come along?
come back - to return	We were away on vacation. We came back yesterday.
come by - to drop in / drop by	Come by one of these days.
come down - 1. to go down; 2. to fall	1. She came down the stairs. 2. The tree came down with a loud crash.
come down to - 1. to get to the core of the matter; 2. to go down in status, wealth	1. It all comes down to the question of money. 2. I can't believe he came down to stealing!
come down with - to become ill	I can't come to your party. I'm coming down with a cold.
come from - to be from some place	He comes from a small town in France.
come in - to enter	Please come in and take a seat.
come into - to enter (some place, position, state)	Mary came into the room. He came into fortune when his aunt died. The military came into power in 1978. The law came into effect last month.
come off - 1. to become detached; 2. to remove (stains); 3. to end successfully	1. Two buttons came off my coat in a crowded subway car. 2. I don't think these coffee stains will come off. 3. His plan didn't come off. Our dinner party came off nicely.
come off it - (slang) stop kidding, lying, behaving in a foolish manner	Oh, come off it! Stop telling me tales. Come off it! Give me a break!
come on - 1. request to hurry; 2. to express disbelif	1. Come on, let's go. We're already late. 2. Oh, come on! Give me a break!
come out - 1. to go out; 2. to be published; 3. to become known (about information, secrets); 4. to result, to end in some way	1. The door opened, and Jim came out. 2. His new book came out last month. 3. The truth will come out one day. 4. I was serious, but my words came out as a joke. His plan didn't come out well.
come out of - 1. to go out of (some place); 2. to result in something	1. The door opened, and Jim came out of the room. 2. I don't know what will come out of this.
come out with - to confess, to reveal something	A year ago he came out with the truth about his role in that scandal.
come over - to visit informally	Can you come over for dinner on Friday?
come through - 1. to be seen; 2. to complete successfully; 3. to do what is expected or wanted	1. His ignorance of these facts came through at the interview. 2. He was between life and death for some time, but he came through. 3. He always comes through for us. Her father came through with a nice check.
come through something - 1. to be seen through something; 2. to complete something successfully	1. The sun came through the clouds. 2. He was between life and death for some time, but he came through the operation successfully.
come to - to reach (some place, result, position, state)	She came to Moscow yesterday. The bill comes to $150. The struggle came to an end in July. The military came to power in 1978. He fainted, but he came to himself quickly. I came to the conclusion that I wanted a different job. It came to me that I had seen him before.
come up - 1. to go up; 2. to appear	1. The prices are coming up again. 2. This information came up during the meeting. His name came up during our conversation. I'll tell you if anything good comes up.
come up to - to come closer to someone	He came up to me and asked my name.
come up with - to think up and suggest (an idea, a plan)	Tom came up with a brilliant idea.
comment on - to give one's opinion about something	He commented on the current situation.
compare to - examine to see the similarity between two objects	This writer is often compared to Leo Tolstoy. He compared her paintings to the most interesting paintings of our time.
compare with - to examine to see the difference or similarity	Compare this car with that car. This writer is often compared with Leo Tolstoy.
complain about - be dissatisfied with something	She is always complaining about her job. She complained about her noisy neighbor.
complain to - to make a complaint to someone	Complain to the manager. Complain to the police about his action.
concentrate in - to gather at some place	The majority of the population is concentrated in big cities.
concentrate on - to give full attention to something	They concentrated their efforts on getting the contract. I am trying to concentrate on my work.
congratulate on - to express praise (for success, achievement)	He congratulated me on my new job. She congratulated him on his excellent speech at the conference.
connect to - to join, to connect two objects	I can't connect this wire to the plug. Are you connected to the Internet? Can you connect me to Mr. Cole?
connect with - 1. to have a connection with; 2. to join, to connect two objects	1. This bank is connected with several big banks. Her work is connected with music. 2. This bus connects with a train at Maple street. Can you connect me with Mr. Cole?
consent to - to agree to something	Her father consented to her marriage.
consist of - to be composed of (parts, ingredients)	Water consists of hydrogen and oxygen. The book consists of five chapters.
contribute to - to give time, money, energy to something	He contributed a lot of money, time, and effort to this research.
cool off - 1. to become less hot; 2. to calm down	1. Wait till the engine cools off. 2. Talk to him when hel cools off.
cope with - to be able to handle, to deal with something	I hope I can cope with this problem.
correspond to - to match, to agree with something	Your information corresponds to the facts I have.
correspond with - to be in correspondence with someone	He corresponds with many famous people.
count down - to count backward to zero	They are ready to launch the rocket. They have already started to count down.
count in - to include	Who wants to go to the lake on Sunday? - I do. Count me in.
count on - to depend on, to rely on someone	You can always count on me for help.
count out - to exclude	Tom is sick, so count him out.
count to - to count to some number	Close your eyes and count to 20.
cover for - to substitute for, to replace someone	Can you cover for me for an hour? Can you cover for Jim while he is away?
cover up - to conceal the truth by lying	He tried to cover up his crime. She covered up for him.
crash into - to hit, to run into something	His car crashed into a truck. He crashed into a tree and hurt his head.
cross out / off - to remove (some words) from a written text	He crossed out these words. He crossed out her name. He crossed her name off the list.
cut down - 1. to chop down (a tree); 2. to reduce something; 3. to destroy, defeat, kill	1. Why do they cut down so many trees? 2. We need to cut down our expenses. 3. Many young lives were cut down in the war.
cut down on - to reduce something (out of necessity)	We spend too much. We really need to cut down on our expenses. The doctor advised her to cut down on chocolate.
cut in - to interrupt someone's conversation	I hate it when he cuts in with remarks about everything.
cut into pieces - to cut up	She cut all vegetables into pieces.
cut off - 1. to chop off; 2. to disconnect (electricity, water, telephone)	1. He cut off the end of the rope. 2. My telephone connection was cut off.
cut out - 1. to cut out of (paper); 2. to exclude, to remove	1. He cuts out newspaper articles and sticks them to the wall. 2. The doctor told her to cut out fat food. Cut out the details. Cut out this paragraph; the report will be better without it.
cut it out - (slang) to stop doing something	I don't want to talk about it! Cut it out!
cut up - to cut into pieces	Cut up these onions and carrots.


************************************* D-P *************************************

Verbs, with definitions	Examples
decide against something - to decide not to do something	He decided against selling the house. We decided against your plan.
decide on something - to agree on something, decide in favor of something	We decided on selling the house. We decided on going to Spain in the summer.
dedicate something to someone or something - 1. to spend much time doing something; 2. to do something in honor of someone	1. This scientist dedicated his whole life to research. 2. He dedicated his latest novel to his daughter.
depart for (some place) - to leave for (some place)	The train departs for Paris at 6:30.
depart from - 1. to leave (some place); 2. to deviate from the course, rule	1. The train departs from Rome at 7:40. 2. The rule departs from the pattern in this case. He departed from the truth.
depend on someone or something - 1. to be conditioned by; 2. to rely on, to count on	1. It depends on the weather. It doesn't depend on me. 2. You can always depend on him.
devote (time, energy) to someone or something - to spend much time doing something	This scientist devoted his whole life to research. He devotes his Sundays to children.
die for - 1. to die for an idea, country, person; 2. to want very much	1. He would die for his principles. He died for his country. 2. I'm dying for a cup of coffee.
die from - to die after something, as a result of something	die from wounds, die from lack of food, die from hunger, die from cold, die from starvation
die of - 1. to die because of an illness; 2. to die because of some strong feeling	1. die of cancer, die of pneumonia, die of old age, die of hunger, die of thirst, die of cold; 2. died of grief, be dying of curiosity, be dying of boredom
die out - to cease to exist	Dinosaurs died out millions of years ago.
disagree about / on something - to have different opinions on something	They disagree about everything. They often disagree on the way children should be raised.
disagree with - 1. to have a different opinion from someone else; 2. not to match or fit	1. I disagree with you about it. I disagree with your plan. 2. Your report disagrees with these facts. Fried meat disagrees with my stomach.
divide into - to separate into parts	Divide this cake into six parts. They divided into three groups.
do over - to do again	Your report isn't good. You have to do it over.
do without something - to live without something	We have to do without chocolate.
drag behind someone - to lag behind someone	The little boy was dragging behind the older boys.
drag someone into something - to pull someone into something	He dragged the dog into the car. Don't try to drag me into their conflict.
draw something from something - to get something from something	He drew a gun from his pocket. I need to draw some money from my bank account. We draw volunteers from students.
draw into something - to pull into something	1. They drew him into a fight, and he ended up in a hospital. 2. The bus is drawing into the station now.
dress up - put on the best clothes	What are you dressed up for?
drink to someone or something - to drink in honor of someone or something	Let's drink to the newly weds! Let's drink to Anna's health.
drive at - 1. to drive at a certain speed; 2. to mean, to suggest something indirectly	1. He was driving at 70 miles per hour when the accident happened. 2. What are you driving at?
drop by / in - to visit informally	How nice of you to drop by! I've just dropped in to say I'm going away.
drop someone off at some place - to let someone out of the car at some place	He dropped me off at the bank.
drop out of school - to quit school	He doesn't go to school, he dropped out last year. He dropped out of school when he was 15.
equip someone or something for something - to provide with necessary things for something	The boat is not equipped for cooking, so we'll have to eat sandwiches for two days. He is not equipped for real life yet.
equip someone or something with something - to provide with necessary things	The kitchen is equipped with modern appliances. They equipped the expedition with tools and maps. He is not equipped with enough knowledge for this job.
excuse someone for something - to forgive someone for something	Please excuse me for being late. Excuse me for interrupting you, but could you give me a copy of the report?
expect something from someone - to expect (good work, results) from someone	Don't expect good work from him; he is lazy and careless. I expected more from her.
explain something to someone - to make clear	Can you explain this task to the students?
expose to something - 1. to be open to the negative effect of something; 2. to reveal to the public	1. He was exposed to the cold for too long. The film was exposed to light. 2. His crimes were exposed to the public.
fall apart - to fall to pieces; to fail; to drift apart	My shoes are falling apart. His business is falling apart. Her marriage is falling apart. Sometimes good friends fall apart.
fall behind - lag behind	The little boy fell behind the older boys.
fall down - to fall	He fell down and hurt his leg.
fall for someone or something - 1. to fall in love with someone; 2. to be tricked into believing	1. He fell for her as soon as they met. 2. I can't believe I fell for his story!
fall from / off something - to fall down from something	He fell from the ladder and hurt his leg. He fell off the bicycle and hurt his leg.
fall in love (with someone or something) - to begin to love	They fell in love and got married. He fell in love with Mary. She fell in love with jazz music.
fall out (of something) - 1. to fall out; 2. fall out of love - to stop loving	1. She opened her bag, and this letter fell out. This letter fell out of her bag. 2. They fell out of love and divorced.
fall over something - to trip over something and fall	He fell over a stair and hurt his knee.
feel about something - to have an opinion about something	How do you feel about his new plan?
feel for someone - to sympathize with someone	I sincerely feel for you in your loss.
feel up to something - feel able to do something	I don't feel up to cleaning the house.
figure out - to solve, to find an answer, to understand	I can't figure out how much I owe them. I can't figure out where all the money has gone. I can't figure him out.
fill in - to write in	Fill in your name and address, please. Fill in this line, please.
fill out - to complete the form	Fill out this form, please.
fill up - to make completely full	The gas tank is almost empty, we need to fill it up at the nearest gas station.
fill with - to make full	He filled my glass with water. She was filled with joy.
find out - to discover	I found out that he lied to me. I found out that Maria left town.
